market_id,question,event_title,volume,created_at,end_date
1417731,"Bitcoin Up or Down - February 24, 1:45AM-2:00AM ET","Bitcoin Up or Down - February 24, 1:45AM-2:00AM ET",137862.422692,2026-02-23 06:52:08.000000 UTC,2026-02-24 07:00:00.000000 UTC
993380,"Bitcoin Up or Down - December 24, 4AM ET","Bitcoin Up or Down - December 24, 4AM ET",137856.479364,2025-12-22 09:00:00.000000 UTC,2025-12-24 10:00:00.000000 UTC
833588,"Bitcoin Up or Down - December 6, 9:15AM-9:30AM ET","Bitcoin Up or Down - December 6, 9:15AM-9:30AM ET",137853.021801,2025-12-05 14:17:23.000000 UTC,2025-12-06 14:30:00.000000 UTC
1772133,"Bitcoin Up or Down - March 30, 2:00AM-2:05AM ET","Bitcoin Up or Down - March 30, 2:00AM-2:05AM ET",137839.06799400045,2026-03-29 06:07:26.000000 UTC,2026-03-30 06:05:00.000000 UTC
727855,"Bitcoin Up or Down - November 29, 4:00AM-4:15AM ET","Bitcoin Up or Down - November 29, 4:00AM-4:15AM ET",137825.488664,2025-11-28 09:02:19.000000 UTC,2025-11-29 09:15:00.000000 UTC
1960706,"Bitcoin Up or Down - April 13, 1:00PM-1:05PM ET","Bitcoin Up or Down - April 13, 1:00PM-1:05PM ET",137824.99295400002,2026-04-12 17:07:02.000000 UTC,2026-04-13 17:05:00.000000 UTC
1431110,"Bitcoin Up or Down - February 25, 6:55PM-7:00PM ET","Bitcoin Up or Down - February 25, 6:55PM-7:00PM ET",137818.986503,2026-02-25 00:02:43.000000 UTC,2026-02-26 00:00:00.000000 UTC
1930424,"Bitcoin Up or Down - April 11, 4PM ET","Bitcoin Up or Down - April 11, 4PM ET",137815.45513299972,2026-04-09 20:00:01.000000 UTC,2026-04-11 21:00:00.000000 UTC
1160474,"Will the price of Bitcoin be greater than $100,000 on January 18?",Bitcoin price on January 18?,137810.1334,2026-01-11 17:00:03.000000 UTC,2026-01-18 17:00:00.000000 UTC
902164,"Bitcoin Up or Down - December 10, 10:30AM-10:45AM ET","Bitcoin Up or Down - December 10, 10:30AM-10:45AM ET",137800.393629,2025-12-09 15:32:21.000000 UTC,2025-12-10 15:45:00.000000 UTC
1379510,"Bitcoin Up or Down - February 15, 9:00PM-9:15PM ET","Bitcoin Up or Down - February 15, 9:00PM-9:15PM ET",137799.477871,2026-02-15 02:08:01.000000 UTC,2026-02-16 02:15:00.000000 UTC
1752371,"Bitcoin Up or Down - March 28, 11:05PM-11:10PM ET","Bitcoin Up or Down - March 28, 11:05PM-11:10PM ET",137792.49603500008,2026-03-28 03:12:27.000000 UTC,2026-03-29 03:10:00.000000 UTC
656878,"Will the price of Bitcoin be less than $98,000 on November 6?",Bitcoin price on November 6?,137792.052404,2025-10-30 16:00:01.000000 UTC,2025-11-06 16:00:00.000000 UTC
1248731,"Bitcoin Up or Down - January 24, 7:15AM-7:30AM ET","Bitcoin Up or Down - January 24, 7:15AM-7:30AM ET",137783.878601,2026-01-23 12:23:13.000000 UTC,2026-01-24 12:30:00.000000 UTC
